n,Computer,Player,Result,Won,Tied,Lost,Won%,Tied%,Lost%,delta,delta%
1,paper,scissors,1,1,0,0,1.0,0.0,0.0,1,1.0
2,rock,scissors,-1,1,0,1,0.5,0.0,0.5,0,0.0
3,paper,paper,0,1,1,1,0.33,0.33,0.33,0,0.0
4,scissors,paper,-1,1,1,2,0.25,0.25,0.5,-1,-0.25
5,paper,scissors,1,2,1,2,0.4,0.2,0.4,0,0.0
6,scissors,paper,-1,2,1,3,0.33,0.17,0.5,-1,-0.17
7,rock,paper,1,3,1,3,0.43,0.14,0.43,0,0.0
8,paper,scissors,1,4,1,3,0.5,0.12,0.38,1,0.12
9,scissors,rock,1,5,1,3,0.56,0.11,0.33,2,0.22
10,scissors,rock,1,6,1,3,0.6,0.1,0.3,3,0.3
11,scissors,rock,1,7,1,3,0.64,0.09,0.27,4,0.36
12,rock,scissors,-1,7,1,4,0.58,0.08,0.33,3,0.25
13,scissors,rock,1,8,1,4,0.62,0.08,0.31,4,0.31
14,scissors,rock,1,9,1,4,0.64,0.07,0.29,5,0.36
15,scissors,rock,1,10,1,4,0.67,0.07,0.27,6,0.4
16,paper,paper,0,10,2,4,0.62,0.12,0.25,6,0.38
17,rock,rock,0,10,3,4,0.59,0.18,0.24,6,0.35
18,rock,paper,1,11,3,4,0.61,0.17,0.22,7,0.39
19,paper,rock,-1,11,3,5,0.58,0.16,0.26,6,0.32
20,scissors,rock,1,12,3,5,0.6,0.15,0.25,7,0.35
21,paper,scissors,1,13,3,5,0.62,0.14,0.24,8,0.38
22,scissors,paper,-1,13,3,6,0.59,0.14,0.27,7,0.32
23,paper,scissors,1,14,3,6,0.61,0.13,0.26,8,0.35
24,paper,rock,-1,14,3,7,0.58,0.12,0.29,7,0.29
25,scissors,rock,1,15,3,7,0.6,0.12,0.28,8,0.32
26,scissors,paper,-1,15,3,8,0.58,0.12,0.31,7,0.27
27,scissors,rock,1,16,3,8,0.59,0.11,0.3,8,0.3
28,rock,rock,0,16,4,8,0.57,0.14,0.29,8,0.29
29,rock,rock,0,16,5,8,0.55,0.17,0.28,8,0.28
30,rock,scissors,-1,16,5,9,0.53,0.17,0.3,7,0.23
31,paper,paper,0,16,6,9,0.52,0.19,0.29,7,0.23
32,scissors,paper,-1,16,6,10,0.5,0.19,0.31,6,0.19
33,paper,paper,0,16,7,10,0.48,0.21,0.3,6,0.18
34,rock,scissors,-1,16,7,11,0.47,0.21,0.32,5,0.15
35,paper,rock,-1,16,7,12,0.46,0.2,0.34,4,0.11
36,paper,scissors,1,17,7,12,0.47,0.19,0.33,5,0.14
37,paper,scissors,1,18,7,12,0.49,0.19,0.32,6,0.16
38,rock,rock,0,18,8,12,0.47,0.21,0.32,6,0.16
39,paper,rock,-1,18,8,13,0.46,0.21,0.33,5,0.13
40,rock,rock,0,18,9,13,0.45,0.23,0.33,5,0.12
41,scissors,rock,1,19,9,13,0.46,0.22,0.32,6,0.15
42,rock,scissors,-1,19,9,14,0.45,0.21,0.33,5,0.12
43,scissors,scissors,0,19,10,14,0.44,0.23,0.33,5,0.12
44,paper,rock,-1,19,10,15,0.43,0.23,0.34,4,0.09
45,paper,scissors,1,20,10,15,0.44,0.22,0.33,5,0.11
46,rock,rock,0,20,11,15,0.43,0.24,0.33,5,0.11
47,scissors,paper,-1,20,11,16,0.43,0.23,0.34,4,0.09
48,scissors,paper,-1,20,11,17,0.42,0.23,0.35,3,0.06
49,paper,scissors,1,21,11,17,0.43,0.22,0.35,4,0.08
50,rock,rock,0,21,12,17,0.42,0.24,0.34,4,0.08
51,rock,rock,0,21,13,17,0.41,0.25,0.33,4,0.08
52,paper,paper,0,21,14,17,0.4,0.27,0.33,4,0.08
53,paper,paper,0,21,15,17,0.4,0.28,0.32,4,0.08
54,paper,scissors,1,22,15,17,0.41,0.28,0.31,5,0.09
55,scissors,scissors,0,22,16,17,0.4,0.29,0.31,5,0.09
56,scissors,paper,-1,22,16,18,0.39,0.29,0.32,4,0.07
57,rock,scissors,-1,22,16,19,0.39,0.28,0.33,3,0.05
58,scissors,scissors,0,22,17,19,0.38,0.29,0.33,3,0.05
59,scissors,paper,-1,22,17,20,0.37,0.29,0.34,2,0.03
60,rock,scissors,-1,22,17,21,0.37,0.28,0.35,1,0.02
61,scissors,rock,1,23,17,21,0.38,0.28,0.34,2,0.03
62,paper,scissors,1,24,17,21,0.39,0.27,0.34,3,0.05
63,scissors,rock,1,25,17,21,0.4,0.27,0.33,4,0.06
64,scissors,scissors,0,25,18,21,0.39,0.28,0.33,4,0.06
65,paper,paper,0,25,19,21,0.38,0.29,0.32,4,0.06
66,paper,rock,-1,25,19,22,0.38,0.29,0.33,3,0.05
67,scissors,paper,-1,25,19,23,0.37,0.28,0.34,2,0.03
