n,Computer,Player,Result,Won,Tied,Lost,Won%,Tied%,Lost%,delta,delta%
1,scissors,rock,1,1,0,0,1.0,0.0,0.0,1,1.0
2,scissors,paper,-1,1,0,1,0.5,0.0,0.5,0,0.0
3,rock,paper,1,2,0,1,0.67,0.0,0.33,1,0.33
4,rock,rock,0,2,1,1,0.5,0.25,0.25,1,0.25
5,scissors,paper,-1,2,1,2,0.4,0.2,0.4,0,0.0
6,scissors,rock,1,3,1,2,0.5,0.17,0.33,1,0.17
7,rock,rock,0,3,2,2,0.43,0.29,0.29,1,0.14
8,rock,rock,0,3,3,2,0.38,0.38,0.25,1,0.12
9,scissors,rock,1,4,3,2,0.44,0.33,0.22,2,0.22
10,scissors,rock,1,5,3,2,0.5,0.3,0.2,3,0.3
11,scissors,rock,1,6,3,2,0.55,0.27,0.18,4,0.36
12,scissors,rock,1,7,3,2,0.58,0.25,0.17,5,0.42
13,scissors,paper,-1,7,3,3,0.54,0.23,0.23,4,0.31
14,scissors,rock,1,8,3,3,0.57,0.21,0.21,5,0.36
15,rock,rock,0,8,4,3,0.53,0.27,0.2,5,0.33
16,scissors,rock,1,9,4,3,0.56,0.25,0.19,6,0.38
17,rock,rock,0,9,5,3,0.53,0.29,0.18,6,0.35
18,scissors,paper,-1,9,5,4,0.5,0.28,0.22,5,0.28
19,scissors,rock,1,10,5,4,0.53,0.26,0.21,6,0.32
20,scissors,paper,-1,10,5,5,0.5,0.25,0.25,5,0.25
21,scissors,paper,-1,10,5,6,0.48,0.24,0.29,4,0.19
22,scissors,rock,1,11,5,6,0.5,0.23,0.27,5,0.23
23,rock,rock,0,11,6,6,0.48,0.26,0.26,5,0.22
24,rock,rock,0,11,7,6,0.46,0.29,0.25,5,0.21
25,scissors,paper,-1,11,7,7,0.44,0.28,0.28,4,0.16
26,scissors,paper,-1,11,7,8,0.42,0.27,0.31,3,0.12
27,rock,rock,0,11,8,8,0.41,0.3,0.3,3,0.11
28,scissors,rock,1,12,8,8,0.43,0.29,0.29,4,0.14
29,rock,rock,0,12,9,8,0.41,0.31,0.28,4,0.14
30,scissors,paper,-1,12,9,9,0.4,0.3,0.3,3,0.1
31,rock,rock,0,12,10,9,0.39,0.32,0.29,3,0.1
32,scissors,paper,-1,12,10,10,0.38,0.31,0.31,2,0.06
33,rock,paper,1,13,10,10,0.39,0.3,0.3,3,0.09
34,scissors,rock,1,14,10,10,0.41,0.29,0.29,4,0.12
35,scissors,rock,1,15,10,10,0.43,0.29,0.29,5,0.14
36,scissors,rock,1,16,10,10,0.44,0.28,0.28,6,0.17
37,scissors,paper,-1,16,10,11,0.43,0.27,0.3,5,0.14
38,scissors,rock,1,17,10,11,0.45,0.26,0.29,6,0.16
39,rock,rock,0,17,11,11,0.44,0.28,0.28,6,0.15
40,scissors,rock,1,18,11,11,0.45,0.28,0.28,7,0.17
41,rock,rock,0,18,12,11,0.44,0.29,0.27,7,0.17
42,scissors,paper,-1,18,12,12,0.43,0.29,0.29,6,0.14
43,rock,rock,0,18,13,12,0.42,0.3,0.28,6,0.14
44,scissors,rock,1,19,13,12,0.43,0.3,0.27,7,0.16
45,scissors,rock,1,20,13,12,0.44,0.29,0.27,8,0.18
46,scissors,rock,1,21,13,12,0.46,0.28,0.26,9,0.2
47,scissors,rock,1,22,13,12,0.47,0.28,0.26,10,0.21
48,scissors,rock,1,23,13,12,0.48,0.27,0.25,11,0.23
